Time;Theta;Time(s);Theta(rad)
12064;61;12.064;1.06465084371654
12080;61;12.08;1.06465084371654
12096;61;12.096;1.06465084371654
12112;61;12.112;1.06465084371654
12129;61;12.129;1.06465084371654
12145;61;12.145;1.06465084371654
12161;61;12.161;1.06465084371654
12177;61;12.177;1.06465084371654
12193;61;12.193;1.06465084371654
12209;61;12.209;1.06465084371654
12225;61;12.225;1.06465084371654
12241;61;12.241;1.06465084371654
12258;61;12.258;1.06465084371654
12274;61;12.274;1.06465084371654
12290;61;12.29;1.06465084371654
12306;61;12.306;1.06465084371654
12322;61;12.322;1.06465084371654
12338;61;12.338;1.06465084371654
12354;61;12.354;1.06465084371654
12370;61;12.37;1.06465084371654
12387;61;12.387;1.06465084371654
12403;61;12.403;1.06465084371654
12419;61;12.419;1.06465084371654
12435;61;12.435;1.06465084371654
12451;61;12.451;1.06465084371654
12467;61;12.467;1.06465084371654
12483;61;12.483;1.06465084371654
12500;61;12.5;1.06465084371654
12516;61;12.516;1.06465084371654
12532;61;12.532;1.06465084371654
12548;61;12.548;1.06465084371654
12564;61;12.564;1.06465084371654
12580;61;12.58;1.06465084371654
12596;61;12.596;1.06465084371654
12612;61;12.612;1.06465084371654
12629;61;12.629;1.06465084371654
12645;61;12.645;1.06465084371654
12661;61;12.661;1.06465084371654
12677;61;12.677;1.06465084371654
12693;61;12.693;1.06465084371654
12709;61;12.709;1.06465084371654
12725;61;12.725;1.06465084371654
12741;61;12.741;1.06465084371654
12758;61;12.758;1.06465084371654
12774;61;12.774;1.06465084371654
12790;61;12.79;1.06465084371654
12806;61;12.806;1.06465084371654
12822;61;12.822;1.06465084371654
12838;61;12.838;1.06465084371654
12854;61;12.854;1.06465084371654
12870;61;12.87;1.06465084371654
